"cause","effect"
"hsa-miR-199a-5p","ZNF579"
"hsa-miR-199b-5p","AKAP12"
"hsa-miR-199b-5p","AKAP13"
"hsa-miR-199b-5p","ARHGEF12"
"hsa-miR-199b-5p","ARL15"
"hsa-miR-199b-5p","AXL"
"hsa-miR-199b-5p","CALD1"
"hsa-miR-199b-5p","CAV1"
"hsa-miR-199b-5p","CBL"
"hsa-miR-199b-5p","CCND2"
"hsa-miR-199b-5p","CEP72"
"hsa-miR-199b-5p","CLK2"
"hsa-miR-199b-5p","CLTC"
"hsa-miR-199b-5p","CNN1"
"hsa-miR-199b-5p","COL5A1"
"hsa-miR-199b-5p","COL6A1"
"hsa-miR-199b-5p","COL8A1"
"hsa-miR-199b-5p","CPSF1"
"hsa-miR-199b-5p","CTGF"
"hsa-miR-199b-5p","DDR1"
"hsa-miR-199b-5p","EBF1"
"hsa-miR-199b-5p","EPAS1"
"hsa-miR-199b-5p","EXOSC3"
"hsa-miR-199b-5p","FER"
"hsa-miR-199b-5p","FGF7"
"hsa-miR-199b-5p","FN1"
"hsa-miR-199b-5p","FOXP1"
"hsa-miR-199b-5p","FZD4"
"hsa-miR-199b-5p","GIT1"
"hsa-miR-199b-5p","HGF"
"hsa-miR-199b-5p","IGF1"
"hsa-miR-199b-5p","ILF3"
"hsa-miR-199b-5p","ITGA1"
"hsa-miR-199b-5p","ITGA4"
"hsa-miR-199b-5p","ITGA8"
"hsa-miR-199b-5p","KLF12"
"hsa-miR-199b-5p","KLF13"
"hsa-miR-199b-5p","KLF9"
"hsa-miR-199b-5p","KLHL3"
"hsa-miR-199b-5p","KTN1"
"hsa-miR-199b-5p","LAMC1"
"hsa-miR-199b-5p","LTBP1"
"hsa-miR-199b-5p","LZTS2"
"hsa-miR-199b-5p","MAML3"
"hsa-miR-199b-5p","MAP3K11"
"hsa-miR-199b-5p","MAP3K2"
"hsa-miR-199b-5p","MEF2C"
"hsa-miR-199b-5p","MKL2"
"hsa-miR-199b-5p","MMP16"
"hsa-miR-199b-5p","MMP2"
"hsa-miR-199b-5p","MORF4L1"
"hsa-miR-199b-5p","MTA1"
"hsa-miR-199b-5p","MYH9"
"hsa-miR-199b-5p","MYO5A"
"hsa-miR-199b-5p","NACC1"
"hsa-miR-199b-5p","NBL1"
"hsa-miR-199b-5p","NCOR1"
"hsa-miR-199b-5p","NDUFA13"
"hsa-miR-199b-5p","NEDD4"
"hsa-miR-199b-5p","NEFM"
"hsa-miR-199b-5p","NID2"
"hsa-miR-199b-5p","NOVA1"
"hsa-miR-199b-5p","PAFAH1B2"
"hsa-miR-199b-5p","PARVA"
"hsa-miR-199b-5p","PDE4D"
"hsa-miR-199b-5p","PDGFRA"
"hsa-miR-199b-5p","PIN1"
"hsa-miR-199b-5p","PLXNA2"
"hsa-miR-199b-5p","PMP22"
"hsa-miR-199b-5p","PPFIBP1"
"hsa-miR-199b-5p","PTPMT1"
"hsa-miR-199b-5p","PTPRF"
"hsa-miR-199b-5p","PTPRG"
"hsa-miR-199b-5p","PVRL3"
"hsa-miR-199b-5p","RAD54L2"
"hsa-miR-199b-5p","RAPGEF4"
"hsa-miR-199b-5p","RB1"
"hsa-miR-199b-5p","RBM14"
"hsa-miR-199b-5p","RHEB"
"hsa-miR-199b-5p","RIN2"
"hsa-miR-199b-5p","RORA"
"hsa-miR-199b-5p","RUNX1T1"
"hsa-miR-199b-5p","SERPINE1"
"hsa-miR-199b-5p","SLIT2"
"hsa-miR-199b-5p","SMARCA4"
"hsa-miR-199b-5p","SNTB1"
"hsa-miR-199b-5p","SOX5"
"hsa-miR-199b-5p","SYNE1"
"hsa-miR-199b-5p","TACC1"
"hsa-miR-199b-5p","TAOK1"
"hsa-miR-199b-5p","TEAD1"
"hsa-miR-199b-5p","TGFB2"
"hsa-miR-199b-5p","THBS1"
"hsa-miR-199b-5p","TRIM11"
"hsa-miR-199b-5p","TWIST1"
"hsa-miR-199b-5p","WNT2"
"hsa-miR-199b-5p","YAP1"
"hsa-miR-199b-5p","ZEB1"
"hsa-miR-199b-5p","ZNF579"
"hsa-miR-199b-5p","ZNF768"
"hsa-miR-19a-5p","ABCA1"
"hsa-miR-19a-5p","ACP1"
"hsa-miR-19a-5p","ACTN1"
"hsa-miR-19a-5p","ADAM10"
"hsa-miR-19a-5p","ADAM12"
"hsa-miR-19a-5p","ADRBK2"
"hsa-miR-19a-5p","AFF1"
"hsa-miR-19a-5p","AHNAK"
"hsa-miR-19a-5p","AKAP2"
"hsa-miR-19a-5p","ANAPC5"
"hsa-miR-19a-5p","ANAPC7"
"hsa-miR-19a-5p","AR"
"hsa-miR-19a-5p","ARHGAP1"
"hsa-miR-19a-5p","ARHGEF12"
"hsa-miR-19a-5p","ATP2B1"
"hsa-miR-19a-5p","ATXN1"
"hsa-miR-19a-5p","B4GALT3"
"hsa-miR-19a-5p","BACE1"
"hsa-miR-19a-5p","BDKRB2"
"hsa-miR-19a-5p","BID"
"hsa-miR-19a-5p","BMPR2"
"hsa-miR-19a-5p","BNC2"
"hsa-miR-19a-5p","C10orf2"
"hsa-miR-19a-5p","C6orf136"
"hsa-miR-19a-5p","CACNA1C"
"hsa-miR-19a-5p","CALCRL"
"hsa-miR-19a-5p","CALD1"
"hsa-miR-19a-5p","CASP10"
"hsa-miR-19a-5p","CAV1"
"hsa-miR-19a-5p","CBX7"
"hsa-miR-19a-5p","CCNB1"
"hsa-miR-19a-5p","CCND2"
"hsa-miR-19a-5p","CCT5"
"hsa-miR-19a-5p","CD22"
"hsa-miR-19a-5p","CDH11"
"hsa-miR-19a-5p","CDKN1A"
"hsa-miR-19a-5p","CEP55"
"hsa-miR-19a-5p","CFH"
"hsa-miR-19a-5p","CHD9"
"hsa-miR-19a-5p","CHEK1"
"hsa-miR-19a-5p","CHEK2"
"hsa-miR-19a-5p","CITED2"
"hsa-miR-19a-5p","CNOT7"
"hsa-miR-19a-5p","COL1A2"
"hsa-miR-19a-5p","COL3A1"
"hsa-miR-19a-5p","CRMP1"
"hsa-miR-19a-5p","CSE1L"
"hsa-miR-19a-5p","CSF2RB"
"hsa-miR-19a-5p","CTGF"
"hsa-miR-19a-5p","CXXC5"
"hsa-miR-19a-5p","CYLD"
"hsa-miR-19a-5p","DBF4"
"hsa-miR-19a-5p","DDX1"
"hsa-miR-19a-5p","DKC1"
"hsa-miR-19a-5p","DKK3"
"hsa-miR-19a-5p","DUSP5"
"hsa-miR-19a-5p","E2F3"
"hsa-miR-19a-5p","EBF1"
"hsa-miR-19a-5p","EDNRB"
"hsa-miR-19a-5p","EEA1"
"hsa-miR-19a-5p","EFNA5"
"hsa-miR-19a-5p","ELAVL1"
"hsa-miR-19a-5p","ELK3"
"hsa-miR-19a-5p","EMX2"
"hsa-miR-19a-5p","ERBB4"
"hsa-miR-19a-5p","ESR1"
"hsa-miR-19a-5p","ETS1"
"hsa-miR-19a-5p","ETV1"
"hsa-miR-19a-5p","EZH2"
"hsa-miR-19a-5p","F3"
"hsa-miR-19a-5p","FAM46C"
"hsa-miR-19a-5p","FANCC"
"hsa-miR-19a-5p","FBL"
"hsa-miR-19a-5p","FBN1"
"hsa-miR-19a-5p","FBN2"
"hsa-miR-19a-5p","FGF10"
"hsa-miR-19a-5p","FHL5"
"hsa-miR-19a-5p","FKBP4"
"hsa-miR-19a-5p","FLNC"
"hsa-miR-19a-5p","FN1"
"hsa-miR-19a-5p","FOXF2"
"hsa-miR-19a-5p","FOXP1"
"hsa-miR-19a-5p","FRMD6"
"hsa-miR-19a-5p","GEMIN7"
"hsa-miR-19a-5p","GHR"
"hsa-miR-19a-5p","GIT2"
"hsa-miR-19a-5p","GJA1"
"hsa-miR-19a-5p","GRIN2A"
"hsa-miR-19a-5p","GSC"
"hsa-miR-19a-5p","GTF2E2"
"hsa-miR-19a-5p","H3F3B"
"hsa-miR-19a-5p","HERPUD1"
"hsa-miR-19a-5p","HGF"
"hsa-miR-19a-5p","HIC1"
"hsa-miR-19a-5p","HNRNPA1"
"hsa-miR-19a-5p","HNRNPC"
"hsa-miR-19a-5p","HNRNPU"
"hsa-miR-19a-5p","HOXB3"
"hsa-miR-19a-5p","HRK"
"hsa-miR-19a-5p","HSPBAP1"
"hsa-miR-19a-5p","IGF1"
"hsa-miR-19a-5p","IKZF1"
"hsa-miR-19a-5p","IL1R1"
"hsa-miR-19a-5p","IL6ST"
"hsa-miR-19a-5p","INHBA"
"hsa-miR-19a-5p","ITGA11"
"hsa-miR-19a-5p","ITGB1"
"hsa-miR-19a-5p","ITGB3"
"hsa-miR-19a-5p","ITM2B"
"hsa-miR-19a-5p","ITPR1"
"hsa-miR-19a-5p","ITSN1"
"hsa-miR-19a-5p","KAT2B"
"hsa-miR-19a-5p","KITLG"
"hsa-miR-19a-5p","KLF10"
"hsa-miR-19a-5p","KLF2"
"hsa-miR-19a-5p","KLF3"
"hsa-miR-19a-5p","KLHL3"
"hsa-miR-19a-5p","LNPEP"
"hsa-miR-19a-5p","LPP"
"hsa-miR-19a-5p","LSM4"
"hsa-miR-19a-5p","MACF1"
"hsa-miR-19a-5p","MAP1B"
"hsa-miR-19a-5p","MAP3K12"
"hsa-miR-19a-5p","MAP3K2"
"hsa-miR-19a-5p","MAP3K3"
"hsa-miR-19a-5p","MAP4"
"hsa-miR-19a-5p","MAZ"
"hsa-miR-19a-5p","MDFIC"
"hsa-miR-19a-5p","MED26"
"hsa-miR-19a-5p","MEF2C"
"hsa-miR-19a-5p","MKL2"
"hsa-miR-19a-5p","MYC"
"hsa-miR-19a-5p","MYH9"
"hsa-miR-19a-5p","MYO10"
"hsa-miR-19a-5p","NBEA"
"hsa-miR-19a-5p","NCOA3"
"hsa-miR-19a-5p","NEK9"
"hsa-miR-19a-5p","NFATC2"
"hsa-miR-19a-5p","NFIC"
"hsa-miR-19a-5p","NKRF"
"hsa-miR-19a-5p","NOL4"
"hsa-miR-19a-5p","NUAK1"
"hsa-miR-19a-5p","NUTF2"
"hsa-miR-19a-5p","PACS1"
"hsa-miR-19a-5p","PAICS"
"hsa-miR-19a-5p","PCNA"
"hsa-miR-19a-5p","PDE4A"
"hsa-miR-19a-5p","PDE5A"
"hsa-miR-19a-5p","PDHA1"
"hsa-miR-19a-5p","PFDN4"
"hsa-miR-19a-5p","PGR"
"hsa-miR-19a-5p","PIK3R5"
"hsa-miR-19a-5p","PIP4K2A"
"hsa-miR-19a-5p","PJA2"
"hsa-miR-19a-5p","PLAU"
"hsa-miR-19a-5p","PMEPA1"
"hsa-miR-19a-5p","POP7"
"hsa-miR-19a-5p","POU4F1"
"hsa-miR-19a-5p","PPFIA2"
"hsa-miR-19a-5p","PPM1G"
"hsa-miR-19a-5p","PRKX"
"hsa-miR-19a-5p","PROX1"
"hsa-miR-19a-5p","PTBP2"
"hsa-miR-19a-5p","PTPN21"
"hsa-miR-19a-5p","PTPRB"
"hsa-miR-19a-5p","PTPRC"
"hsa-miR-19a-5p","PTPRG"
"hsa-miR-19a-5p","PURA"
"hsa-miR-19a-5p","RAB8B"
"hsa-miR-19a-5p","RABGGTB"
"hsa-miR-19a-5p","RAI2"
"hsa-miR-19a-5p","RALGPS2"
"hsa-miR-19a-5p","RAN"
"hsa-miR-19a-5p","RAP1B"
"hsa-miR-19a-5p","RAPGEF2"
"hsa-miR-19a-5p","RASSF5"
"hsa-miR-19a-5p","RBM14"
"hsa-miR-19a-5p","RHOB"
"hsa-miR-19a-5p","RIN2"
"hsa-miR-19a-5p","RNF11"
"hsa-miR-19a-5p","RNF111"
"hsa-miR-19a-5p","RNF4"
"hsa-miR-19a-5p","RORA"
"hsa-miR-19a-5p","RPL4"
"hsa-miR-19a-5p","RPS6KA2"
"hsa-miR-19a-5p","RUNX1T1"
"hsa-miR-19a-5p","RUNX2"
"hsa-miR-19a-5p","S1PR1"
"hsa-miR-19a-5p","SAAL1"
"hsa-miR-19a-5p","SALL1"
"hsa-miR-19a-5p","SERBP1"
"hsa-miR-19a-5p","SF3B3"
"hsa-miR-19a-5p","SGK1"
"hsa-miR-19a-5p","SH2D3C"
"hsa-miR-19a-5p","SH3BP5L"
"hsa-miR-19a-5p","SH3D19"
"hsa-miR-19a-5p","SLC8A1"
"hsa-miR-19a-5p","SLC9A1"
"hsa-miR-19a-5p","SOX11"
"hsa-miR-19a-5p","SRGAP1"
"hsa-miR-19a-5p","STAM2"
"hsa-miR-19a-5p","STK24"
"hsa-miR-19a-5p","STMN1"
"hsa-miR-19a-5p","STRN3"
"hsa-miR-19a-5p","SYT11"
"hsa-miR-19a-5p","TACC1"
"hsa-miR-19a-5p","TBPL1"
"hsa-miR-19a-5p","TDGF1"
"hsa-miR-19a-5p","TFB1M"
"hsa-miR-19a-5p","TFDP2"
"hsa-miR-19a-5p","TGFBI"
"hsa-miR-19a-5p","TGFBR2"
"hsa-miR-19a-5p","TGM2"
"hsa-miR-19a-5p","THBS1"
"hsa-miR-19a-5p","TLN1"
"hsa-miR-19a-5p","TMBIM6"
"hsa-miR-19a-5p","TMOD3"
"hsa-miR-19a-5p","TNFAIP3"
"hsa-miR-19a-5p","TNFRSF1B"
"hsa-miR-19a-5p","TNPO2"
"hsa-miR-19a-5p","TPM1"
"hsa-miR-19a-5p","TRAK2"
"hsa-miR-19a-5p","TRERF1"
"hsa-miR-19a-5p","TRIM23"
"hsa-miR-19a-5p","TRIM28"
"hsa-miR-19a-5p","UACA"
"hsa-miR-19a-5p","UBA52"
"hsa-miR-19a-5p","UBAP2L"
"hsa-miR-19a-5p","USP13"
"hsa-miR-19a-5p","WDR1"
"hsa-miR-19a-5p","WNT7B"
"hsa-miR-19a-5p","WWP1"
"hsa-miR-19a-5p","YBX1"
"hsa-miR-19a-5p","ZFHX3"
"hsa-miR-19a-5p","ZFPM2"
"hsa-miR-19a-5p","ZHX3"
"hsa-miR-19a-5p","ZMIZ2"
"hsa-miR-19a-5p","ZNF384"
"hsa-miR-19a-5p","ZRANB2"
"hsa-miR-19b-1-5p","ACP1"
"hsa-miR-19b-1-5p","ACTB"
"hsa-miR-19b-1-5p","ACTN1"
"hsa-miR-19b-1-5p","ACVR1"
"hsa-miR-19b-1-5p","ADAM12"
"hsa-miR-19b-1-5p","AFF1"
"hsa-miR-19b-1-5p","AHNAK"
"hsa-miR-19b-1-5p","AKAP1"
"hsa-miR-19b-1-5p","ANAPC5"
"hsa-miR-19b-1-5p","ANAPC7"
"hsa-miR-19b-1-5p","AR"
"hsa-miR-19b-1-5p","ARHGAP1"
"hsa-miR-19b-1-5p","ASCL2"
"hsa-miR-19b-1-5p","ATXN1"
"hsa-miR-19b-1-5p","BDKRB2"
"hsa-miR-19b-1-5p","BNC2"
"hsa-miR-19b-1-5p","BTBD3"
"hsa-miR-19b-1-5p","C10orf2"
"hsa-miR-19b-1-5p","C6orf136"
"hsa-miR-19b-1-5p","CACNA1C"
"hsa-miR-19b-1-5p","CALCRL"
"hsa-miR-19b-1-5p","CALD1"
"hsa-miR-19b-1-5p","CASP10"
"hsa-miR-19b-1-5p","CAV1"
"hsa-miR-19b-1-5p","CBX7"
"hsa-miR-19b-1-5p","CCNA2"
"hsa-miR-19b-1-5p","CCNB1"
"hsa-miR-19b-1-5p","CCND2"
"hsa-miR-19b-1-5p","CCT5"
"hsa-miR-19b-1-5p","CDH11"
"hsa-miR-19b-1-5p","CEP55"
"hsa-miR-19b-1-5p","CFH"
"hsa-miR-19b-1-5p","CHEK1"
"hsa-miR-19b-1-5p","CIT"
"hsa-miR-19b-1-5p","CITED2"
"hsa-miR-19b-1-5p","CNOT7"
"hsa-miR-19b-1-5p","COL1A2"
"hsa-miR-19b-1-5p","COL3A1"
"hsa-miR-19b-1-5p","CRMP1"
"hsa-miR-19b-1-5p","CSE1L"
"hsa-miR-19b-1-5p","CUL4A"
"hsa-miR-19b-1-5p","CXXC5"
"hsa-miR-19b-1-5p","DBF4"
"hsa-miR-19b-1-5p","DKC1"
"hsa-miR-19b-1-5p","DKK3"
"hsa-miR-19b-1-5p","DNAJA1"
"hsa-miR-19b-1-5p","DNMT1"
"hsa-miR-19b-1-5p","DNMT3A"
"hsa-miR-19b-1-5p","DUSP5"
"hsa-miR-19b-1-5p","E2F3"
"hsa-miR-19b-1-5p","EBF1"
"hsa-miR-19b-1-5p","EDNRB"
"hsa-miR-19b-1-5p","EFNA5"
"hsa-miR-19b-1-5p","ELAVL1"
"hsa-miR-19b-1-5p","ELK3"
"hsa-miR-19b-1-5p","EMX2"
"hsa-miR-19b-1-5p","ERBB4"
"hsa-miR-19b-1-5p","ESR1"
"hsa-miR-19b-1-5p","ETS1"
"hsa-miR-19b-1-5p","ETV1"
"hsa-miR-19b-1-5p","F3"
"hsa-miR-19b-1-5p","FAM83D"
"hsa-miR-19b-1-5p","FANCC"
"hsa-miR-19b-1-5p","FAS"
"hsa-miR-19b-1-5p","FBL"
"hsa-miR-19b-1-5p","FBN1"
"hsa-miR-19b-1-5p","FGF10"
"hsa-miR-19b-1-5p","FGF7"
"hsa-miR-19b-1-5p","FHL5"
"hsa-miR-19b-1-5p","FLNC"
"hsa-miR-19b-1-5p","FN1"
"hsa-miR-19b-1-5p","FOXF2"
"hsa-miR-19b-1-5p","FOXP1"
"hsa-miR-19b-1-5p","FRMD6"
"hsa-miR-19b-1-5p","FXR1"
"hsa-miR-19b-1-5p","GATAD2B"
"hsa-miR-19b-1-5p","GHR"
"hsa-miR-19b-1-5p","GIT2"
"hsa-miR-19b-1-5p","GJA1"
"hsa-miR-19b-1-5p","GRIK3"
"hsa-miR-19b-1-5p","GRIN2A"
"hsa-miR-19b-1-5p","GSC"
"hsa-miR-19b-1-5p","HDAC7"
"hsa-miR-19b-1-5p","HGF"
"hsa-miR-19b-1-5p","HHEX"
"hsa-miR-19b-1-5p","HIC1"
"hsa-miR-19b-1-5p","HNRNPA1"
"hsa-miR-19b-1-5p","HNRNPC"
"hsa-miR-19b-1-5p","HNRNPD"
"hsa-miR-19b-1-5p","HNRNPU"
"hsa-miR-19b-1-5p","HOXB3"
"hsa-miR-19b-1-5p","IARS"
"hsa-miR-19b-1-5p","IGF1"
"hsa-miR-19b-1-5p","IGFBP3"
"hsa-miR-19b-1-5p","IL1R1"
"hsa-miR-19b-1-5p","INHBA"
"hsa-miR-19b-1-5p","IRS2"
"hsa-miR-19b-1-5p","ITGA11"
"hsa-miR-19b-1-5p","ITGB1"
"hsa-miR-19b-1-5p","ITGB3"
"hsa-miR-19b-1-5p","ITM2B"
"hsa-miR-19b-1-5p","ITPR1"
"hsa-miR-19b-1-5p","KAT2A"
"hsa-miR-19b-1-5p","KDR"
"hsa-miR-19b-1-5p","KIAA1217"
"hsa-miR-19b-1-5p","KLF10"
"hsa-miR-19b-1-5p","KLF2"
"hsa-miR-19b-1-5p","KLHL3"
"hsa-miR-19b-1-5p","LPP"
"hsa-miR-19b-1-5p","LSM4"
"hsa-miR-19b-1-5p","MAP1B"
"hsa-miR-19b-1-5p","MAP3K12"
"hsa-miR-19b-1-5p","MED26"
"hsa-miR-19b-1-5p","MEF2C"
"hsa-miR-19b-1-5p","MKL2"
"hsa-miR-19b-1-5p","MLLT10"
"hsa-miR-19b-1-5p","MYC"
"hsa-miR-19b-1-5p","MYO10"
"hsa-miR-19b-1-5p","NAP1L1"
"hsa-miR-19b-1-5p","NCOA3"
"hsa-miR-19b-1-5p","NEUROD1"
"hsa-miR-19b-1-5p","NKRF"
"hsa-miR-19b-1-5p","NOL4"
"hsa-miR-19b-1-5p","NPY2R"
"hsa-miR-19b-1-5p","NR3C1"
"hsa-miR-19b-1-5p","NUAK1"
"hsa-miR-19b-1-5p","PACS1"
"hsa-miR-19b-1-5p","PAICS"
"hsa-miR-19b-1-5p","PALLD"
"hsa-miR-19b-1-5p","PCNA"
"hsa-miR-19b-1-5p","PDE5A"
"hsa-miR-19b-1-5p","PDHA1"
"hsa-miR-19b-1-5p","PEA15"
"hsa-miR-19b-1-5p","PGR"
"hsa-miR-19b-1-5p","PIP4K2A"
"hsa-miR-19b-1-5p","PJA2"
"hsa-miR-19b-1-5p","PLAU"
"hsa-miR-19b-1-5p","PMEPA1"
"hsa-miR-19b-1-5p","POLE3"
"hsa-miR-19b-1-5p","POU4F1"
"hsa-miR-19b-1-5p","PPFIA2"
"hsa-miR-19b-1-5p","PRKX"
"hsa-miR-19b-1-5p","PTBP2"
"hsa-miR-19b-1-5p","PTPRB"
"hsa-miR-19b-1-5p","PTPRG"
"hsa-miR-19b-1-5p","PTX3"
"hsa-miR-19b-1-5p","RAB8B"
"hsa-miR-19b-1-5p","RABGGTB"
"hsa-miR-19b-1-5p","RAI2"
"hsa-miR-19b-1-5p","RAN"
"hsa-miR-19b-1-5p","RAP1B"
"hsa-miR-19b-1-5p","RBM14"
"hsa-miR-19b-1-5p","RBPJ"
"hsa-miR-19b-1-5p","RGL1"
"hsa-miR-19b-1-5p","RHOB"
"hsa-miR-19b-1-5p","RIN2"
"hsa-miR-19b-1-5p","RNF11"
"hsa-miR-19b-1-5p","RPL4"
"hsa-miR-19b-1-5p","RPS6KA2"
"hsa-miR-19b-1-5p","RRM1"
"hsa-miR-19b-1-5p","RUNX1T1"
"hsa-miR-19b-1-5p","RUNX2"
"hsa-miR-19b-1-5p","RUNX3"
"hsa-miR-19b-1-5p","S1PR1"
"hsa-miR-19b-1-5p","SAAL1"
"hsa-miR-19b-1-5p","SALL1"
"hsa-miR-19b-1-5p","SERBP1"
"hsa-miR-19b-1-5p","SF3B3"
"hsa-miR-19b-1-5p","SGTB"
"hsa-miR-19b-1-5p","SH2D3C"
"hsa-miR-19b-1-5p","SH3D19"
"hsa-miR-19b-1-5p","SLC8A1"
"hsa-miR-19b-1-5p","SLC9A1"
"hsa-miR-19b-1-5p","STAM2"
"hsa-miR-19b-1-5p","STK24"
"hsa-miR-19b-1-5p","STMN1"
"hsa-miR-19b-1-5p","SYT11"
"hsa-miR-19b-1-5p","TBC1D4"
"hsa-miR-19b-1-5p","TCF4"
"hsa-miR-19b-1-5p","TDGF1"
"hsa-miR-19b-1-5p","TFDP2"
"hsa-miR-19b-1-5p","TGFB1"
"hsa-miR-19b-1-5p","TGFBI"
"hsa-miR-19b-1-5p","TGFBR2"
"hsa-miR-19b-1-5p","TGM2"
"hsa-miR-19b-1-5p","THBS1"
"hsa-miR-19b-1-5p","THRB"
"hsa-miR-19b-1-5p","TMBIM6"
"hsa-miR-19b-1-5p","TNFRSF1B"
"hsa-miR-19b-1-5p","TNPO2"
"hsa-miR-19b-1-5p","TOPBP1"
"hsa-miR-19b-1-5p","TRIM37"
"hsa-miR-19b-1-5p","TSC22D3"
"hsa-miR-19b-1-5p","UBA52"
"hsa-miR-19b-1-5p","UBAC2"
"hsa-miR-19b-1-5p","UBAP2L"
"hsa-miR-19b-1-5p","USP13"
"hsa-miR-19b-1-5p","WDR1"
"hsa-miR-19b-1-5p","WNT7B"
"hsa-miR-19b-1-5p","WWP1"
"hsa-miR-19b-1-5p","XIAP"
"hsa-miR-19b-1-5p","XK"
"hsa-miR-19b-1-5p","YBX1"
"hsa-miR-19b-1-5p","ZFHX3"
"hsa-miR-19b-1-5p","ZFPM2"
"hsa-miR-19b-1-5p","ZHX3"
"hsa-miR-19b-1-5p","ZMIZ2"
"hsa-miR-19b-1-5p","ZNF384"
"hsa-miR-19b-1-5p","ZRANB2"
"hsa-miR-19b-2-5p","ADRBK2"
"hsa-miR-19b-2-5p","ARHGAP1"
"hsa-miR-19b-2-5p","CASP10"
"hsa-miR-19b-2-5p","ETS1"
"hsa-miR-19b-2-5p","GTF2E2"
"hsa-miR-19b-2-5p","MAP3K3"
"hsa-miR-19b-2-5p","MYC"
"hsa-miR-19b-2-5p","MYO10"
"hsa-miR-19b-2-5p","ZNF384"
"hsa-miR-200a-5p","AGFG1"
"hsa-miR-200a-5p","AKAP1"
"hsa-miR-200a-5p","AKAP12"
"hsa-miR-200a-5p","ATP2B1"
"hsa-miR-200a-5p","BACE1"
"hsa-miR-200a-5p","BNC2"
"hsa-miR-200a-5p","CAV2"
"hsa-miR-200a-5p","CCNA2"
"hsa-miR-200a-5p","CCNE1"
"hsa-miR-200a-5p","CD2AP"
"hsa-miR-200a-5p","CD47"
"hsa-miR-200a-5p","CDC25A"
"hsa-miR-200a-5p","CDH1"
"hsa-miR-200a-5p","CEBPG"
"hsa-miR-200a-5p","CHML"
"hsa-miR-200a-5p","CUBN"
"hsa-miR-200a-5p","CXADR"
"hsa-miR-200a-5p","DDX1"
"hsa-miR-200a-5p","DDX18"
"hsa-miR-200a-5p","DEK"
"hsa-miR-200a-5p","DKC1"
"hsa-miR-200a-5p","DLG3"
"hsa-miR-200a-5p","DUSP1"
"hsa-miR-200a-5p","EGLN1"
"hsa-miR-200a-5p","EHF"
"hsa-miR-200a-5p","ENSA"
"hsa-miR-200a-5p","EPRS"
"hsa-miR-200a-5p","ERG"
"hsa-miR-200a-5p","EZH2"
"hsa-miR-200a-5p","FGFR1"
"hsa-miR-200a-5p","FLI1"
"hsa-miR-200a-5p","FNBP1L"
"hsa-miR-200a-5p","FOXC1"
"hsa-miR-200a-5p","FOXJ3"
"hsa-miR-200a-5p","FZD4"
"hsa-miR-200a-5p","GATAD2B"
"hsa-miR-200a-5p","H3F3B"
"hsa-miR-200a-5p","HGF"
"hsa-miR-200a-5p","HNRNPC"
"hsa-miR-200a-5p","HNRNPF"
"hsa-miR-200a-5p","HTR2A"
"hsa-miR-200a-5p","IGF2"
"hsa-miR-200a-5p","IL12RB2"
"hsa-miR-200a-5p","ITGB8"
"hsa-miR-200a-5p","KHDRBS2"
"hsa-miR-200a-5p","KIF1B"
"hsa-miR-200a-5p","KIF23"
"hsa-miR-200a-5p","KIF5B"
"hsa-miR-200a-5p","KLF11"
"hsa-miR-200a-5p","KPNA2"
"hsa-miR-200a-5p","LFNG"
"hsa-miR-200a-5p","LIMA1"
"hsa-miR-200a-5p","LMO4"
"hsa-miR-200a-5p","LRRC1"
"hsa-miR-200a-5p","MAP4K4"
"hsa-miR-200a-5p","MCM7"
"hsa-miR-200a-5p","MEIS2"
"hsa-miR-200a-5p","MKI67"
"hsa-miR-200a-5p","MLLT4"
"hsa-miR-200a-5p","MMP16"
"hsa-miR-200a-5p","MMP9"
"hsa-miR-200a-5p","MPRIP"
"hsa-miR-200a-5p","MSH2"
"hsa-miR-200a-5p","MSH6"
"hsa-miR-200a-5p","MYB"
"hsa-miR-200a-5p","NCAM1"
"hsa-miR-200a-5p","NCL"
"hsa-miR-200a-5p","NFIB"
"hsa-miR-200a-5p","NRP1"
"hsa-miR-200a-5p","OTX1"
"hsa-miR-200a-5p","PCDH8"
"hsa-miR-200a-5p","PHIP"
"hsa-miR-200a-5p","PLAGL2"
"hsa-miR-200a-5p","PLEKHB1"
"hsa-miR-200a-5p","PPA1"
"hsa-miR-200a-5p","PPP3R1"
"hsa-miR-200a-5p","PRKD1"
"hsa-miR-200a-5p","PRLR"
"hsa-miR-200a-5p","PTPRD"
"hsa-miR-200a-5p","PTPRG"
"hsa-miR-200a-5p","RAB10"
"hsa-miR-200a-5p","RAB3D"
"hsa-miR-200a-5p","RAD21"
"hsa-miR-200a-5p","RAE1"
"hsa-miR-200a-5p","RALGPS1"
"hsa-miR-200a-5p","RHEB"
"hsa-miR-200a-5p","RHPN2"
"hsa-miR-200a-5p","RRM2"
"hsa-miR-200a-5p","SDC2"
"hsa-miR-200a-5p","SGK3"
"hsa-miR-200a-5p","SHC1"
"hsa-miR-200a-5p","SIX4"
"hsa-miR-200a-5p","SLC18A2"
"hsa-miR-200a-5p","SMAD2"
"hsa-miR-200a-5p","SMAD3"
"hsa-miR-200a-5p","SMG7"
"hsa-miR-200a-5p","SNAP25"
"hsa-miR-200a-5p","SNRPD1"
"hsa-miR-200a-5p","SOBP"
